Kategori,Nama Barang,Kode,Satuan,Stok Awal,Pcs/Dus
Bahan Kemas,Plastik Southmount 1kg,BK46,pcs,560,0
Bahan Kemas,Plastik Southmount 2kg,BK47,pcs,411,0
Bahan Kemas,plastik 40 x 60,BK48,pcs,0,0
Bahan Kemas,Plastik Crinkle Cut 1kg,BK49,pcs,19,0
Bahan Penolong,Masker,BP01,pcs,75,0
Bahan Penolong,Sarung Tangan Plastik,BP02,pcs,137,0
Bahan Penolong,Sarung Tangan Latex,BP03,pcs,0,0
Bahan Penolong,Nurse Cap,BP04,pcs,17,0
Bahan Penolong,Spidol,BP05,pcs,12,0
Bahan Penolong,Sabun Cuci Piring,BP06,ml,570,0
Bahan Penolong,Sabun Lantai,BP07,pcs,0,0
Bahan Tambahan Pangan,Minyak Sawit,BTP01,liter,0,0
Bahan Tambahan Pangan,Minyak Canola,BTP02,liter,5,0
Bahan Tambahan Pangan,Dextrose Monohydrate,BTP03,gr,5300,0
Bahan Tambahan Pangan,Malto Dextrin,BTP04,gr,25000,0
Bahan Tambahan Pangan,Citric Acid,BTP05,gr,25275,0
Bahan Tambahan Pangan,Garam,BTP06,gr,14790,0
Bahan Tambahan Pangan,Knorr,BTP07,gr,9730,0
Bahan Tambahan Pangan,Tepung Beras,BTP08,gr,65000,0
Bahan Tambahan Pangan,Tepung Terigu,BTP09,gr,0,0
Bahan Tambahan Pangan,Tepung Jagung,BTP10,gr,3540,0
Bahan Tambahan Pangan,Tepung Kentang,BTP11,gr,2610,0
Bahan Tambahan Pangan,Bawang Putih Bubuk / Garlic Powder,BTP12,gr,34555,0
Bahan Tambahan Pangan,Roasted Garlic,BTP13,gr,1000,0
Bahan Tambahan Pangan,Lada Putih,BTP14,gr,2805,0
Bahan Tambahan Pangan,Bumbu Rendang Indofood,BTP15,pcs,27,0
Bahan Tambahan Pangan,Keju Mozzarella,BTP16,gr,0,0
Bahan Tambahan Pangan,Keju Cheddar,BTP17,gr,6500,0
Bahan Tambahan Pangan,Polenta,BTP18,gr,0,0
Bahan Tambahan Pangan,Baking Powder,BTP19,gr,6380,0
Bahan Tambahan Pangan,Ragi,BTP20,gr,0,0
Bahan Tambahan Pangan,Chili Powder,BTP21,gr,0,0
Bahan Tambahan Pangan,Paprika Bubuk,BTP22,gr,15430,0
Bahan Tambahan Pangan,Pewarna Merah,BTP23,ml,0,0
Bahan Tambahan Pangan,Maizena,BTP24,gr,65700,0
Bahan Tambahan Pangan,Tapioka,BTP25,gr,1000,0
